celltype_id,sample_id
100-b-cell,adult-bone-marrow-2
100-b-cell,adult-intestine-2
100-b-cell,adult-liver-1
100-b-cell,adult-liver-4.1
100-b-cell,adult-omentum-3
100-b-cell,adult-pancreas-1
100-b-cell,adult-peripheral-blood-2
100-b-cell,adult-peripheral-blood-4.1
100-b-cell,adult-peripheral-blood-4.2
100-b-cell,adult-peripheral-blood-4.3
100-b-cell,adult-sigmoid-colon-1
100-b-cell,adult-thyroid-2
100-b-cell,adult-transverse-colon-2.1
100-b-cell,fetal-spinal-cord-1
101-kidney-intercalated-cell,adult-adrenal-gland-1
101-kidney-intercalated-cell,adult-lung-2
101-kidney-intercalated-cell,fetal-calvaria-1
101-kidney-intercalated-cell,fetal-kidney-3
101-kidney-intercalated-cell,fetal-rib-3
101-kidney-intercalated-cell,fetal-skin-2
101-kidney-intercalated-cell,fetal-spinal-cord-1
102-adrenal-gland-inflammatory-cell,neonatal-adrenal-gland-1.1
102-adrenal-gland-inflammatory-cell,neonatal-adrenal-gland-1.2
10-fetal-stromal-cell,adult-intestine-5
10-fetal-stromal-cell,adult-muscle-1
10-fetal-stromal-cell,adult-transverse-colon-1
10-fetal-stromal-cell,fetal-adrenal-gland-2
10-fetal-stromal-cell,fetal-adrenal-gland-3
10-fetal-stromal-cell,fetal-adrenal-gland-4
10-fetal-stromal-cell,fetal-brain-4
10-fetal-stromal-cell,fetal-brain-5
10-fetal-stromal-cell,fetal-calvaria-1
10-fetal-stromal-cell,fetal-eyes-1
10-fetal-stromal-cell,fetal-heart-1
10-fetal-stromal-cell,fetal-heart-2
10-fetal-stromal-cell,fetal-intestine-1
10-fetal-stromal-cell,fetal-intestine-2
10-fetal-stromal-cell,fetal-intestine-4
10-fetal-stromal-cell,fetal-kidney-3
10-fetal-stromal-cell,fetal-kidney-4
10-fetal-stromal-cell,fetal-kidney-5
10-fetal-stromal-cell,fetal-kidney-6
10-fetal-stromal-cell,fetal-lung-1
10-fetal-stromal-cell,fetal-lung-2
10-fetal-stromal-cell,fetal-male-gonad-1
10-fetal-stromal-cell,fetal-muscle-1
10-fetal-stromal-cell,fetal-pancreas-1
10-fetal-stromal-cell,fetal-pancreas-2
10-fetal-stromal-cell,fetal-pancreas-3
10-fetal-stromal-cell,fetal-rib-2
10-fetal-stromal-cell,fetal-rib-3
10-fetal-stromal-cell,fetal-skin-2
10-fetal-stromal-cell,fetal-skin-3
10-fetal-stromal-cell,fetal-spinal-cord-1
10-fetal-stromal-cell,fetal-stomach-1
